"exactround","asset_fund_manager","payoff_human","asset_human","payoff_algo","payoff_stock","algo_random","block","finlit_q1","finlit_q2","finlit_q3","finlit_q4","finlit_q5","finlit_q6","finlit_q7","finlit_q8","time_quiz","numeracy_answer1","numeracy_answer2","numeracy_answer3","numeracy_answer4","numeracy_q1","numeracy_q2","numeracy_q3","numeracy_q4","score","rank","rank_adj","fund_manager","choiceblock","choice_algo_minus2","choice_algo_minus1","choice_equal_fee","choice_algo_plus1","choice_algo_plus2","random_cost_drawn","payment_block_net","paymentblock_gross","costblock","block_drawn_for_payoff","final_payoff","motivation_verbal","feedback_verbal","state","payoff_bond","session","id","Q1_Fund","Q1_Alg","Q1_Random","Q2_Fund","Q2_Alg","Q2_Random","Q3_Fund","Q3_Alg","Q3_Random","Q4_Fund","Q4_Alg","Q4_Random","Q5_Fund","Q5_Alg","Q5_Random","Q6_Fund","Q6_Alg","Q6_Random","Q7_Fund","Q7_Alg","Q7_Random","gender","age","investstocks","risk","trust","econskill","return_beliefs","learning","qualitative_data","data_aggregation","data_weighting","outliers","competition_outgroup","asset_algo","trial"
11,0,3,0,3,1,0,1,1,1,1,1,1,0,1,1,194,25,20,50,30,1,1,1,1,11,1,1.052778502,1,-99,NA,NA,NA,NA,NA,1,16,16,0,4,16,"Historic data","",0,3,11,3,NA,4,1,NA,4,1,NA,1,1,2,NA,0,NA,3,1,2,NA,0,NA,3,1,1,22,1,7,3,6,2,2,5,2,3,2,3,0,1
12,0,3,0,3,5,1,1,1,1,1,1,1,0,1,1,194,25,20,50,30,1,1,1,1,11,1,1.052778502,1,-99,NA,NA,NA,NA,NA,1,16,16,0,4,16,"Historic data","",0,3,11,3,NA,4,1,NA,4,1,NA,1,1,2,NA,0,NA,3,1,2,NA,0,NA,3,1,1,22,1,7,3,6,2,2,5,2,3,2,3,0,2
13,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,194,25,20,50,30,1,1,1,1,11,1,1.052778502,1,-99,NA,NA,NA,NA,NA,1,16,16,0,4,16,"Historic data","",0,3,11,3,NA,4,1,NA,4,1,NA,1,1,2,NA,0,NA,3,1,2,NA,0,NA,3,1,1,22,1,7,3,6,2,2,5,2,3,2,3,1,3
14,1,1,1,3,1,1,1,1,1,1,1,1,0,1,1,194,25,20,50,30,1,1,1,1,11,1,1.052778502,1,-99,NA,NA,NA,NA,NA,1,16,16,0,4,16,"Historic data","",0,3,11,3,NA,4,1,NA,4,1,NA,1,1,2,NA,0,NA,3,1,2,NA,0,NA,3,1,1,22,1,7,3,6,2,2,5,2,3,2,3,0,4
15,0,3,0,3,1,0,1,1,1,1,1,1,0,1,1,194,25,20,50,30,1,1,1,1,11,1,1.052778502,1,-99,NA,NA,NA,NA,NA,1,16,16,0,4,16,"Historic data","",0,3,11,3,NA,4,1,NA,4,1,NA,1,1,2,NA,0,NA,3,1,2,NA,0,NA,3,1,1,22,1,7,3,6,2,2,5,2,3,2,3,0,5
16,1,5,1,3,5,0,1,1,1,1,1,1,0,1,1,194,25,20,50,30,1,1,1,1,11,1,1.052778502,1,-99,NA,NA,NA,NA,NA,1,16,16,0,4,16,"Historic data","",0,3,11,3,NA,4,1,NA,4,1,NA,1,1,2,NA,0,NA,3,1,2,NA,0,NA,3,1,1,22,1,7,3,6,2,2,5,2,3,2,3,0,6
21,0,3,0,3,5,0,2,1,1,1,1,1,0,1,1,194,25,20,50,30,1,1,1,1,11,1,1.052778502,1,-99,NA,NA,NA,NA,NA,1,22,22,0,4,16,"Historic data","",1,3,11,3,NA,4,1,NA,4,1,NA,1,1,2,NA,0,NA,3,1,2,NA,0,NA,3,1,1,22,1,7,3,6,2,2,5,2,3,2,3,0,1
22,0,3,0,5,5,0,2,1,1,1,1,1,0,1,1,194,25,20,50,30,1,1,1,1,11,1,1.052778502,1,-99,NA,NA,NA,NA,NA,1,22,22,0,4,16,"Historic data","",1,3,11,3,NA,4,1,NA,4,1,NA,1,1,2,NA,0,NA,3,1,2,NA,0,NA,3,1,1,22,1,7,3,6,2,2,5,2,3,2,3,1,2
23,1,5,1,5,5,0,2,1,1,1,1,1,0,1,1,194,25,20,50,30,1,1,1,1,11,1,1.052778502,1,-99,NA,NA,NA,NA,NA,1,22,22,0,4,16,"Historic data","",1,3,11,3,NA,4,1,NA,4,1,NA,1,1,2,NA,0,NA,3,1,2,NA,0,NA,3,1,1,22,1,7,3,6,2,2,5,2,3,2,3,1,3
24,1,1,1,1,1,0,2,1,1,1,1,1,0,1,1,194,25,20,50,30,1,1,1,1,11,1,1.052778502,1,-99,NA,NA,NA,NA,NA,1,22,22,0,4,16,"Historic data","",1,3,11,3,NA,4,1,NA,4,1,NA,1,1,2,NA,0,NA,3,1,2,NA,0,NA,3,1,1,22,1,7,3,6,2,2,5,2,3,2,3,1,4
